;country;region;area;pop_dens;literacy;phones_per1000;startup_score;forward_thinking_score;happiness_score;homicide_rate;co2_emissions;gdp_per_capita;population
90;Honduras;LATIN AMER. & CARIB    ;112090.0;65.4;76.2;67.5;;40.06;5.919;36.3;9320279.0;2831.0;9904607.0
91;Hong Kong;ASIA (EX. NEAR EAST)         ;1092.0;6355.7;93.5;546.7;39.0;;5.477;0.3;47066386.0;;7496981.0
92;Hungary;EASTERN EUROPE                     ;93030.0;107.3;99.4;336.2;44.0;50.13;5.992;0.8;51018899.0;18772.7;9660351.0
93;Iceland;WESTERN EUROPE                     ;103000.0;2.9;99.9;647.7;42.0;52.52;7.554;1.5;3923884.0;68383.8;341243.0
94;India;ASIA (EX. NEAR EAST)         ;3287590.0;333.2;59.5;45.4;88.0;54.92;3.819;3.0;2533638100.0;2277.4;1380004385.0
95;Indonesia;ASIA (EX. NEAR EAST)         ;1919440.0;127.9;87.9;52.0;60.0;52.35;5.345;0.4;530035650.0;4291.8;273523615.0
96;Iran;ASIA (EX. NEAR EAST)         ;1648000.0;41.7;79.4;276.4;38.0;;4.721;2.5;642560030.0;;83992949.0
97;Iraq;NEAR EAST                          ;437072.0;61.3;40.4;38.6;;45.29;4.854;10.1;162646160.0;5048.4;40222493.0
98;Ireland;WESTERN EUROPE                     ;70280.0;57.8;98.0;500.5;76.0;;7.085;0.7;39086565.0;99152.1;4937786.0
99;Isle of Man;WESTERN EUROPE                     ;572.0;131.9;;676.0;;;;0.0;;86481.6;85033.0
100;Israel;NEAR EAST                          ;20770.0;305.8;95.4;462.3;89.0;55.89;7.157;1.5;65201588.0;51430.1;8655535.0
101;Italy;WESTERN EUROPE                     ;301230.0;193.0;98.6;430.9;66.0;55.19;6.483;0.5;358139550.0;35551.3;60461826.0
102;Jamaica;LATIN AMER. & CARIB    ;10991.0;250.9;87.9;124.0;;;6.309;44.7;8946575.0;4586.7;2961167.0
103;Japan;ASIA (EX. NEAR EAST)         ;377835.0;337.4;99.0;461.2;70.0;67.22;5.94;0.3;1239592060.0;39285.2;126476461.0
104;Jersey;WESTERN EUROPE                     ;116.0;785.2;;811.3;;;;;;;
105;Jordan;NEAR EAST                          ;92300.0;64.0;91.3;104.5;;48.58;4.395;1.0;22772370.0;4405.8;10203134.0
106;Kazakhstan;C.W. OF IND. STATES ;2717300.0;5.6;98.4;164.1;;45.86;6.152;3.2;231919540.0;10041.5;18776707.0
107;Kenya;SUB-SAHARAN AFRICA                 ;582650.0;59.6;85.1;8.1;;48.84;4.607;4.0;16334919.0;2006.8;53771296.0
108;Kiribati;OCEANIA                            ;811.0;130.0;;42.7;;;;;52818.0;1514.6;119449.0
109;Korea, North;ASIA (EX. NEAR EAST)         ;120540.0;191.8;99.0;42.4;;;;;;;
110;Korea, South;ASIA (EX. NEAR EAST)         ;98480.0;496.0;97.9;486.1;;;;;;;
111;Kuwait;NEAR EAST                          ;17820.0;135.7;83.5;211.0;34.0;48.62;6.106;1.8;101492225.0;24811.8;4270571.0
112;Kyrgyzstan;C.W. OF IND. STATES ;198500.0;26.3;97.0;84.0;;34.74;5.744;2.2;6941784.0;;6524195.0
113;Laos;ASIA (EX. NEAR EAST)         ;236800.0;26.9;66.4;14.1;;38.79;5.03;;4531276.0;;7275560.0
114;Latvia;BALTICS                            ;64589.0;35.2;99.8;321.4;57.0;47.27;6.032;2.6;8157157.0;20642.2;1886198.0
115;Lebanon;NEAR EAST                          ;10400.0;372.5;87.4;255.6;;45.84;4.584;1.9;21863288.0;2670.4;6825445.0
116;Lebanon;NEAR EAST                          ;10400.0;372.5;87.4;255.6;;34.19;4.584;1.9;21863288.0;2670.4;6825445.0
117;Lesotho;SUB-SAHARAN AFRICA                 ;30355.0;66.6;84.8;23.7;;;3.512;43.6;318438.0;1166.5;2142249.0
118;Liberia;SUB-SAHARAN AFRICA                 ;111370.0;27.3;57.5;2.3;;33.14;4.625;3.3;846658.0;673.1;5057681.0
119;Libya;NORTHERN AFRICA                    ;1759540.0;3.4;82.6;127.1;;38.21;5.41;;52696075.0;6018.4;6871292.0
120;Liechtenstein;WESTERN EUROPE                     ;160.0;212.4;100.0;585.5;;;;2.6;;169049.2;38128.0
121;Lithuania;BALTICS                            ;65200.0;55.0;99.6;223.4;69.0;49.64;6.255;3.7;13685264.0;23433.4;2722289.0
122;Luxembourg;WESTERN EUROPE                     ;2586.0;183.5;100.0;515.4;41.0;53.25;7.324;0.2;10144632.0;135682.8;625978.0
123;Macau;ASIA (EX. NEAR EAST)         ;28.0;16183.0;94.5;384.9;;;;0.3;;;
124;Macedonia;EASTERN EUROPE                     ;25333.0;80.9;;260.0;;;;;;;
125;Madagascar;SUB-SAHARAN AFRICA                 ;587040.0;31.7;68.9;3.6;;40.61;4.208;;3026047.0;514.9;27691018.0
126;Malawi;SUB-SAHARAN AFRICA                 ;118480.0;109.8;62.7;7.9;;37.77;3.6;1.8;1815598.0;642.7;19129952.0
127;Malaysia;ASIA (EX. NEAR EAST)         ;329750.0;74.0;88.7;179.0;85.0;53.55;5.384;2.1;266251542.0;11371.1;32365999.0
128;Maldives;ASIA (EX. NEAR EAST)         ;300.0;1196.7;97.2;90.0;;38.56;5.198;0.7;1233015.0;8994.6;540544.0
129;Mali;SUB-SAHARAN AFRICA                 ;1240000.0;9.5;46.4;6.4;;35.13;4.723;;1606421.0;917.9;20250833.0
130;Malta;WESTERN EUROPE                     ;316.0;1266.5;92.8;505.0;55.0;49.6;6.602;1.6;2257870.0;33257.4;441543.0
131;Marshall Islands;OCEANIA                            ;11854.0;5.1;93.7;91.2;;;;;;4171.0;59190.0
132;Martinique;LATIN AMER. & CARIB    ;1100.0;396.5;97.7;394.4;;;;2.8;2715477.0;;375265.0
133;Mauritania;SUB-SAHARAN AFRICA                 ;1030700.0;3.1;41.7;12.9;;38.08;4.227;;2564345.0;1723.0;4649658.0
134;Mauritius;SUB-SAHARAN AFRICA                 ;2040.0;608.3;85.6;289.3;;48.15;6.049;2.9;3192307.0;8812.1;1271768.0
135;Mayotte;SUB-SAHARAN AFRICA                 ;374.0;538.1;;49.7;;;;5.9;;;272815.0
136;Mexico;LATIN AMER. & CARIB    ;1972550.0;54.5;92.2;181.6;46.0;51.85;6.317;28.4;441412750.0;9926.4;128932753.0
137;Micronesia, Fed. St.;OCEANIA                            ;702.0;153.9;89.0;114.8;;;;;;;
138;Moldova;C.W. OF IND. STATES ;33843.0;132.0;99.1;208.1;;49.25;5.766;4.1;8258774.0;5314.5;4033963.0
139;Monaco;WESTERN EUROPE                     ;2.0;16271.5;99.0;1035.6;;;;0.0;;173688.2;39242.0
140;Mongolia;ASIA (EX. NEAR EAST)         ;1564116.0;1.8;97.8;55.1;;44.75;5.677;6.0;18574260.0;4534.9;3278290.0
141;Montserrat;LATIN AMER. & CARIB    ;102.0;92.5;97.0;;;;;20.3;;;4992.0
142;Morocco;NORTHERN AFRICA                    ;446550.0;74.4;51.7;40.4;;49.15;4.918;1.3;57694464.0;3496.8;36910560.0
143;Mozambique;SUB-SAHARAN AFRICA                 ;801590.0;24.6;47.8;3.5;;44.85;4.794;3.5;5859171.0;500.4;31255435.0
144;Namibia;SUB-SAHARAN AFRICA                 ;825418.0;2.5;84.0;62.6;;41.7;4.574;11.9;3901830.0;4729.3;2540905.0
145;Nauru;OCEANIA                            ;21.0;632.7;;143.0;;;;;;12252.3;10824.0
146;Nepal;ASIA (EX. NEAR EAST)         ;147181.0;192.2;45.2;15.9;;42.53;5.269;2.3;7833787.0;1222.9;29136808.0
147;Netherlands;WESTERN EUROPE                     ;41526.0;397.1;99.0;460.8;71.0;56.2;7.464;0.6;163419285.0;58061.0;17134872.0
148;Netherlands Antilles;LATIN AMER. & CARIB    ;960.0;231.0;96.7;365.3;;;;;;;
149;New Caledonia;OCEANIA                            ;19060.0;11.5;91.0;252.2;;;;;2338717.0;34694.6;285498.0
150;New Zealand;OCEANIA                            ;268680.0;15.2;99.0;441.7;56.0;55.73;7.277;2.6;33276202.0;48801.7;4822233.0
151;Nicaragua;LATIN AMER. & CARIB    ;129494.0;43.0;67.5;39.7;;;5.972;7.2;5325447.0;2090.8;6624554.0
152;Niger;SUB-SAHARAN AFRICA                 ;1267000.0;9.9;17.6;1.9;;44.62;5.074;4.4;2088475.0;594.9;24206644.0
153;Nigeria;SUB-SAHARAN AFRICA                 ;923768.0;142.7;68.0;9.3;;45.39;4.759;34.5;82634214.0;2085.0;206139589.0
154;N. Mariana Islands;OCEANIA                            ;477.0;172.9;97.0;254.7;;;;;;;
155;Norway;WESTERN EUROPE                     ;323802.0;14.2;100.0;461.7;58.0;55.98;7.392;0.6;43456012.0;89202.8;5421241.0
156;Oman;NEAR EAST                          ;212460.0;14.6;75.8;85.5;;46.21;;0.3;87835773.0;16439.3;5106626.0
157;Pakistan;ASIA (EX. NEAR EAST)         ;803940.0;206.2;45.7;31.8;;;4.934;3.9;178013820.0;1537.9;220892340.0
158;Palau;OCEANIA                            ;458.0;44.9;92.0;325.6;;;;;41732.0;14243.9;18094.0
159;Panama;LATIN AMER. & CARIB    ;78200.0;40.8;92.6;137.9;;51.7;6.18;11.1;11599764.0;14516.5;4314767.0
160;Papua New Guinea;OCEANIA                            ;462840.0;12.3;64.6;10.9;;38.28;;;9086988.0;2916.4;8947024.0
161;Paraguay;LATIN AMER. & CARIB    ;406750.0;16.0;94.0;49.2;;43.79;5.653;6.7;5998469.0;5400.1;7132538.0
162;Peru;LATIN AMER. & CARIB    ;1285220.0;22.0;90.9;79.5;;49.9;5.84;7.9;57692879.0;6692.2;32971854.0
163;Philippines;ASIA (EX. NEAR EAST)         ;300000.0;298.2;92.6;38.4;54.0;52.24;5.88;4.4;126922662.0;3548.8;109581078.0
164;Poland;EASTERN EUROPE                     ;312685.0;123.3;99.8;306.3;86.0;50.39;6.166;0.7;296659670.0;17840.9;37846611.0
165;Portugal;WESTERN EUROPE                     ;92391.0;114.8;93.3;399.2;67.0;52.5;5.929;0.9;50142844.0;24262.2;10196709.0
166;Puerto Rico;LATIN AMER. & CARIB    ;13790.0;284.8;94.1;283.1;;;;18.5;712758.0;31429.9;2860853.0
167;Qatar;NEAR EAST                          ;11437.0;77.4;82.5;232.0;32.0;53.41;;0.4;98990085.0;61276.0;2881053.0
168;Reunion;SUB-SAHARAN AFRICA                 ;2517.0;312.9;88.9;380.9;;;;;;;
169;Romania;EASTERN EUROPE                     ;237500.0;93.9;98.4;196.9;63.0;48.86;6.14;1.5;78770824.0;14861.9;19237691.0
170;Russia;C.W. OF IND. STATES ;17075200.0;8.4;99.6;280.6;75.0;53.13;5.477;7.3;1661899300.0;;145934462.0
171;Rwanda;SUB-SAHARAN AFRICA                 ;26338.0;328.4;70.4;2.7;;41.77;3.415;2.6;1403087.0;833.8;12952218.0
172;Saint Helena;SUB-SAHARAN AFRICA                 ;413.0;18.2;97.0;293.3;;;;0.0;13128.0;;6077.0
