;country;region;area;pop_dens;literacy;phones_per1000;startup_score;forward_thinking_score;happiness_score;homicide_rate;co2_emissions;gdp_per_capita;population
220;Vietnam;ASIA (EX. NEAR EAST)         ;329560.0;256.1;90.3;187.7;31.0;51.8;5.411;1.5;206042140.0;3694.0;97338579.0
221;Virgin Islands;LATIN AMER. & CARIB    ;1910.0;56.9;;652.8;;;;;;;
222;Wallis and Futuna;OCEANIA                            ;274.0;58.5;50.0;118.6;;;;;;;
223;West Bank;NEAR EAST                          ;5860.0;419.9;;145.2;;;;;;;
224;Western Sahara;NORTHERN AFRICA                    ;266000.0;1.0;;;;;;;207592.0;;597339.0
225;Yemen;NEAR EAST                          ;527970.0;40.6;50.2;37.2;;36.65;3.658;6.8;25647990.0;;29825964.0
226;Zambia;SUB-SAHARAN AFRICA                 ;752614.0;15.3;80.6;8.2;;36.55;4.073;5.4;4230584.0;1120.6;18383955.0
227;Zimbabwe;SUB-SAHARAN AFRICA                 ;390580.0;31.3;90.7;26.8;;38.48;3.145;7.5;10062628.0;1737.2;14862924.0
228;South Korea;;;;;;74.0;60.53;5.845;0.6;604043830.0;;51269185.0
229;Myanmar;;;;;;;48.1;4.426;2.3;16701776.0;1187.2;54409800.0
230;North Macedonia;;;;;;;48.05;5.101;1.2;8896732.0;6720.9;2083374.0
231;Pakistan (Islamic Republic of);;;;;;;44.25;;;;;
232;Iran (Islamic Republic of);;;;;;;42.19;;;;;
233;DR Congo;;;;;;;41.1;;;6564773.0;;89561403.0
234;Montenegro;;;;;;;40.19;5.581;2.9;16249039.0;9367.0;628066.0
235;Congo Republic;;;;;;;39.98;;;;;
236;Afghanistan (Islamic Republic of);;;;;;;39.92;;;;;
237;South Sudan;;;;;;;38.23;;14.9;4038496.0;1119.7;11193725.0
238;Eswatini;;;;;;;36.0;4.308;11.6;657572.0;4214.9;1160164.0
239;Kosovo;;;;;;;34.74;;2.4;;4986.6;
240;Bosnia And Herzegovina;;;;;;;;5.813;;;;
241;Republic of the Congo;;;;;;;;5.342;;;;
242;Ivory Coast;;;;;;;;5.306;;;;
243;Gambia;;;;;;;;5.051;;254127.0;;2416668.0
244;Antigua and Barbuda;;;;;;;;;11.1;438763.0;14900.8;97929.0
245;Bahamas;;;;;;;;;18.6;4404247.0;;393244.0
246;Bosnia and Herzegovina;;;;;;;;;1.2;25674120.0;6916.4;3280819.0
247;British Virgin Islands;;;;;;;;;8.3;99762.0;;30231.0
248;Central African Republic;;;;;;;;;20.1;543229.0;511.5;4829767.0
249;Channel Islands;;;;;;;;;0.0;;74463.0;173863.0
250;Curaçao;;;;;;;;;19.0;;;164093.0
251;England and Wales;;;;;;;;;1.2;;;
252;Holy See;;;;;;;;;0.0;;;801.0
253;Iraq (excluding Kurdistan);;;;;;;;;10.1;;;
254;Kurdistan Region (Iraq);;;;;;;;;2.2;;;
255;Northern Ireland;;;;;;;;;1.2;;;
256;Réunion;;;;;;;;;1.8;1132331.0;;895312.0
257;Saint Kitts and Nevis;;;;;;;;;36.1;;;
258;Saint Martin (French part);;;;;;;;;27.7;;;
259;Saint Pierre and Miquelon;;;;;;;;;15.8;;;
260;São Tomé and Príncipe;;;;;;;;;3.3;;;
261;Scotland;;;;;;;;;1.1;;;
262;Palestine;;;;;;;;;1.0;;;
263;Trinidad and Tobago;;;;;;;;;30.6;34974263.0;15243.1;1399488.0
264;Turks and Caicos Islands;;;;;;;;;5.7;;24047.1;
266;Czech Republic (Czechia);;;;;;;;;;111825428.0;;10708981.0
267;North Korea;;;;;;;;;;58708734.0;;25778816.0
268;Côte d'Ivoire;;;;;;;;;;10056492.0;;26378274.0
269;Brunei ;;;;;;;;;;7672127.0;;
270;Congo;;;;;;;;;;5212302.0;;5518087.0
271;Macao;;;;;;;;;;3106518.0;;649335.0
272;Timor-Leste;;;;;;;;;;495687.0;1457.8;1318445.0
273;St. Vincent & Grenadines;;;;;;;;;;362414.0;;110940.0
274;Cabo Verde;;;;;;;;;;99687.0;3445.8;555987.0
275;Turks and Caicos;;;;;;;;;;65451.0;;38717.0
276;Falkland Islands;;;;;;;;;;48568.0;;3480.0
277;Saint Pierre & Miquelon;;;;;;;;;;8842.0;;5794.0
278;Faeroe Islands;;;;;;;;;;1953.0;;48863.0
279;Brunei Darussalam;;;;;;;;;;;31722.7;
280;Congo, Rep.;;;;;;;;;;;2213.9;
281;Curacao;;;;;;;;;;;16109.9;
282;Egypt, Arab Rep.;;;;;;;;;;;3876.4;
283;Hong Kong SAR, China;;;;;;;;;;;49660.6;
284;Iran, Islamic Rep.;;;;;;;;;;;2756.7;
285;Korea, Dem. People's Rep.;;;;;;;;;;;;
286;Korea, Rep.;;;;;;;;;;;34757.7;
287;Kyrgyz Republic;;;;;;;;;;;1276.2;
288;Lao PDR;;;;;;;;;;;2551.3;
289;Macao SAR, China;;;;;;;;;;;45421.6;
290;Micronesia, Fed. Sts.;;;;;;;;;;;3476.7;
291;Northern Mariana Islands;;;;;;;;;;;20659.6;57559.0
292;Russian Federation;;;;;;;;;;;12172.8;
293;Sao Tome and Principe;;;;;;;;;;;2449.3;
294;Sint Maarten (Dutch part);;;;;;;;;;;28988.3;
295;Slovak Republic;;;;;;;;;;;21087.8;
296;St. Kitts and Nevis;;;;;;;;;;;18230.1;
297;St. Lucia;;;;;;;;;;;9571.0;
298;St. Martin (French part);;;;;;;;;;;21459.3;
299;St. Vincent and the Grenadines;;;;;;;;;;;7996.6;
300;Syrian Arab Republic;;;;;;;;;;;1265.6;
301;Turkiye;;;;;;;;;;;9586.6;
302;Venezuela, RB;;;;;;;;;;;16055.6;
303;Virgin Islands (U.S.);;;;;;;;;;;39552.2;
304;West Bank and Gaza;;;;;;;;;;;3664.0;
305;Yemen, Rep.;;;;;;;;;;;690.8;
306;World;;;;;;;;;;;12262.9;
307;Arab World;;;;;;;;;;;6412.4;
308;Caribbean small states;;;;;;;;;;;9352.3;
309;Central Europe and the Baltics;;;;;;;;;;;18569.0;
310;East Asia & Pacific;;;;;;;;;;;13037.5;
311;East Asia & Pacific (excluding high income);;;;;;;;;;;9776.5;
312;Euro area;;;;;;;;;;;42307.7;
313;Europe & Central Asia;;;;;;;;;;;27114.3;
314;Europe & Central Asia (excluding high income);;;;;;;;;;;8708.1;
315;European Union;;;;;;;;;;;38234.1;
316;Fragile and conflict affected situations;;;;;;;;;;;1673.4;
317;Heavily indebted poor countries (HIPC);;;;;;;;;;;1057.9;
318;Latin America & Caribbean;;;;;;;;;;;8340.4;
319;Latin America & Caribbean (excluding high income);;;;;;;;;;;7727.2;
320;Least developed countries: UN classification;;;;;;;;;;;1177.0;
321;Middle East & North Africa;;;;;;;;;;;7696.9;
322;Middle East & North Africa (excluding high income);;;;;;;;;;;3612.2;
323;North America;;;;;;;;;;;67514.0;
324;OECD members;;;;;;;;;;;42098.6;
325;Other small states;;;;;;;;;;;13776.8;
326;Pacific island small states;;;;;;;;;;;3798.8;
327;Small states;;;;;;;;;;;12394.9;
328;South Asia;;;;;;;;;;;2176.8;
329;Sub-Saharan Africa;;;;;;;;;;;1645.5;
330;Sub-Saharan Africa (excluding high income);;;;;;;;;;;1644.5;
331;State of Palestine;;;;;;;;;;;;5101414.0
332;Micronesia;;;;;;;;;;;;548914.0
333;Sint Maarten;;;;;;;;;;;;42876.0
334;Saint Martin;;;;;;;;;;;;38666.0
335;Caribbean Netherlands;;;;;;;;;;;;26223.0
336;Wallis & Futuna;;;;;;;;;;;;11239.0
337;Saint Barthelemy;;;;;;;;;;;;9877.0
338;Niue;;;;;;;;;;;;1626.0
339;Tokelau;;;;;;;;;;;;1357.0
